,date,event_type,description
88,2022-06-09,sleep,"💤 6 h 17 m [2 h 0 m / 90%]
(🌒 11:05 PM /🌞 6:02 AM)"
89,2022-06-10,sleep,"💤 8 h 10 m [1 h 32 m / 100%]
(🌒 10:14 PM /🌞 5:54 AM)"
90,2022-06-11,sleep,"💤 7 h 51 m [1 h 46 m / 97%]
(🌒 10:26 PM /🌞 6:28 AM)"
91,2022-06-12,sleep,"💤 7 h 51 m [1 h 46 m / 97%]
(🌒 10:26 PM /🌞 6:28 AM)"
92,2022-06-13,sleep,"💤 7 h 12 m [1 h 48 m / 99%]
(🌒 11:45 PM /🌞 7:01 AM)"
93,2022-06-14,sleep,"💤 6 h 43 m [1 h 33 m / 94%]
(🌒 10:15 PM /🌞 5:22 AM)"
94,2022-06-15,sleep,"💤 7 h 47 m [1 h 15 m / 100%]
(🌒 12:00 AM /🌞 7:47 AM)"
95,2022-06-16,sleep,"💤 6 h 45 m [0 h 31 m / 91%]
(🌒 10:03 PM /🌞 5:25 AM)"
96,2022-06-17,sleep,"💤 7 h 6 m [1 h 5 m / 75%]
(🌒 10:15 PM /🌞 7:40 AM)"
97,2022-06-18,sleep,"💤 8 h 42 m [2 h 0 m / 74%]
(🌒 8:15 PM /🌞 7:00 AM)"
98,2022-06-19,sleep,"💤 9 h 21 m [2 h 4 m / 97%]
(🌒 10:20 PM /🌞 7:56 AM)"
99,2022-06-20,sleep,"💤 9 h 6 m [4 h 48 m / 94%]
(🌒 10:30 PM /🌞 6:59 AM)"
100,2022-06-21,sleep,"💤 7 h 32 m [1 h 30 m / 97%]
(🌒 10:49 PM /🌞 6:33 AM)"
101,2022-06-22,sleep,"💤 7 h 48 m [1 h 0 m / 96%]
(🌒 10:00 PM /🌞 6:04 AM)"
102,2022-06-23,sleep,"💤 9 h 16 m [1 h 48 m / 99%]
(🌒 10:33 PM /🌞 7:51 AM)"
103,2022-06-24,sleep,"💤 9 h 6 m [2 h 29 m / 100%]
(🌒 9:49 PM /🌞 5:48 AM)"
104,2022-06-25,sleep,"💤 7 h 28 m [3 h 36 m / 96%]
(🌒 10:46 PM /🌞 6:29 AM)"
105,2022-06-26,sleep,"💤 7 h 47 m [0 h 30 m / 93%]
(🌒 11:30 PM /🌞 7:32 AM)"
106,2022-06-27,sleep,"💤 7 h 51 m [2 h 31 m / 95%]
(🌒 11:15 PM /🌞 7:27 AM)"
107,2022-06-28,sleep,"💤 6 h 16 m [1 h 45 m / 100%]
(🌒 11:31 PM /🌞 5:47 AM)"
108,2022-06-29,sleep,"💤 7 h 34 m [1 h 0 m / 100%]
(🌒 10:00 PM /🌞 5:34 AM)"
109,2022-06-30,sleep,"💤 7 h 54 m [1 h 31 m / 99%]
(🌒 10:18 PM /🌞 6:15 AM)"
110,2022-07-01,sleep,"💤 7 h 54 m [1 h 31 m / 99%]
(🌒 10:18 PM /🌞 6:15 AM)"
111,2022-07-02,sleep,"💤 8 h 25 m [0 h 59 m / 100%]
(🌒 10:21 PM /🌞 6:46 AM)"
112,2022-07-03,sleep,"💤 6 h 59 m [0 h 44 m / 100%]
(🌒 11:16 PM /🌞 6:15 AM)"
113,2022-07-04,sleep,"💤 7 h 26 m [2 h 49 m / 100%]
(🌒 11:41 PM /🌞 7:07 AM)"
114,2022-07-05,sleep,"💤 7 h 39 m [2 h 2 m / 100%]
(🌒 11:17 PM /🌞 6:56 AM)"
115,2022-07-06,sleep,"💤 7 h 25 m [0 h 30 m / 96%]
(🌒 10:45 PM /🌞 6:25 AM)"
116,2022-07-07,sleep,"💤 8 h 14 m [1 h 29 m / 100%]
(🌒 11:17 PM /🌞 7:31 AM)"
117,2022-07-08,sleep,"💤 7 h 48 m [2 h 15 m / 100%]
(🌒 10:29 PM /🌞 6:17 AM)"
118,2022-07-09,sleep,"💤 7 h 44 m [2 h 29 m / 100%]
(🌒 11:16 PM /🌞 7:00 AM)"
119,2022-07-10,sleep,"💤 7 h 53 m [2 h 32 m / 100%]
(🌒 10:46 PM /🌞 6:39 AM)"
120,2022-06-01,exercise,
121,2022-06-02,exercise,
122,2022-06-03,exercise,
123,2022-06-04,exercise,
124,2022-06-05,exercise,
125,2022-06-06,exercise,
126,2022-06-07,exercise,
127,2022-06-08,exercise,
128,2022-06-09,exercise,
129,2022-06-10,exercise,
130,2022-06-11,exercise,
131,2022-06-12,exercise,
132,2022-06-13,exercise,
133,2022-06-14,exercise,
134,2022-06-15,exercise,
135,2022-06-16,exercise,
136,2022-06-17,exercise,
137,2022-06-18,exercise,
138,2022-06-19,exercise,
139,2022-06-20,exercise,
140,2022-06-21,exercise,
141,2022-06-22,exercise,
142,2022-06-23,exercise,
143,2022-06-24,exercise,
144,2022-06-25,exercise,
145,2022-06-26,exercise,
146,2022-06-27,exercise,
147,2022-06-28,exercise,
148,2022-06-29,exercise,
149,2022-06-30,exercise,
150,2022-07-01,exercise,
151,2022-07-02,exercise,
152,2022-07-03,exercise,
153,2022-07-04,exercise,
154,2022-07-05,exercise,🏃 
155,2022-07-06,exercise,🏃 
156,2022-07-07,exercise,🏃 
157,2022-07-08,exercise,🏃 
158,2022-07-09,exercise,🏃 
159,2022-07-10,exercise,🏃 
160,2022-06-01,mindful,
161,2022-06-02,mindful,
162,2022-06-03,mindful,
163,2022-06-04,mindful,
164,2022-06-05,mindful,
165,2022-06-06,mindful,
166,2022-06-07,mindful,
167,2022-06-08,mindful,
168,2022-06-09,mindful,
169,2022-06-10,mindful,
170,2022-06-11,mindful,
171,2022-06-12,mindful,
172,2022-06-13,mindful,
173,2022-06-14,mindful,
174,2022-06-15,mindful,
175,2022-06-16,mindful,
176,2022-06-17,mindful,
177,2022-06-18,mindful,
178,2022-06-19,mindful,
179,2022-06-20,mindful,
180,2022-06-21,mindful,
181,2022-06-22,mindful,
182,2022-06-23,mindful,
183,2022-06-24,mindful,
184,2022-06-25,mindful,
185,2022-06-26,mindful,
186,2022-06-27,mindful,
187,2022-06-28,mindful,
188,2022-06-29,mindful,
